category_id,evaluation_period,evaluation_status,index,name,primary_sector,q01_code_id,q01_compliance,q01_desc,q01_explanation,q01_no,q04_code_id,q04_compliance,q04_desc,q04_explanation,q04_no,q05_code_id,q05_compliance,q05_desc,q05_explanation,q05_no,q06_code_id,q06_compliance,q06_desc,q06_explanation,q06_no,q07_code_id,q07_compliance,q07_desc,q07_explanation,q07_no,q08_code_id,q08_compliance,q08_desc,q08_explanation,q08_no,q09_code_id,q09_compliance,q09_desc,q09_explanation,q09_no,q10_code_id,q10_compliance,q10_desc,q10_explanation,q10_no,q11_code_id,q11_compliance,q11_desc,q11_explanation,q11_no,q12_code_id,q12_compliance,q12_desc,q12_explanation,q12_no,q13_code_id,q13_compliance,q13_desc,q13_explanation,q13_no,q14_code_id,q14_compliance,q14_desc,q14_explanation,q14_no,q15_code_id,q15_compliance,q15_desc,q15_explanation,q15_no,q16_code_id,q16_compliance,q16_desc,q16_explanation,q16_no,q17_code_id,q17_compliance,q17_desc,q17_explanation,q17_no,q19_code_id,q19_compliance,q19_desc,q19_explanation,q19_no,q20_code_id,q20_compliance,q20_desc,q20_explanation,q20_no,q21_code_id,q21_compliance,q21_desc,q21_explanation,q21_no,q24_code_id,q24_compliance,q24_desc,q24_explanation,q24_no,q25_code_id,q25_compliance,q25_desc,q25_explanation,q25_no,q26_code_id,q26_compliance,q26_desc,q26_explanation,q26_no,q27_code_id,q27_compliance,q27_desc,q27_explanation,q27_no,q28_code_id,q28_compliance,q28_desc,q28_explanation,q28_no,q29_code_id,q29_compliance,q29_desc,q29_explanation,q29_no,q30_code_id,q30_compliance,q30_desc,q30_explanation,q30_no,sub_setor,uen
57,Apr 2016 - Mar 2017,Late,1,Animal Concerns Research and Education Society,Others,,No,Arethere Board members holding staff appointments?,,1,1.1.6,Complied,"Thereis a maximum term limit of four consecutive years for the Treasurer position (or equivalent, e.g. Finance Committee Chairman).",,4,1.2.1,Complied,Thereare Board committees (or designated Board members) with documented terms of reference.,,5,1.3.1,Complied,"TheBoard meets regularly with a quorum of at least one-third or at least three members, whichever is greater (or as required by the governing instrument).",,6,2.1,Complied,Thereare documented procedures for Board members and staff to declare actual or potential conflicts of interest to the Board.,,7,2.4,Complied,Boardmembers do not vote or participate in decision-making on matters where they have a conflict of interest.,,8,3.1.1,Complied,TheBoard reviews and approves the vision and mission of the charity. They are documented and communicated to its members and the public.,,9,3.2.2,Complied,TheBoard approves and reviews a strategic plan for the charity to ensure that the activities are in line with its objectives.,,10,5.1,Complied,TheBoard approves documented human resource policies for staff.,,11,5.6,Complied,"Thereare systems for regular supervision, appraisal and professional development of staff.",,12,6.1.2,Complied,TheBoard ensures internal control systems for financial matters are in place with documented procedures.,,13,6.1.3,Complied,"TheBoard ensures reviews on the charity’s controls, processes, key programmes and events.",,14,6.2.1,Complied,TheBoard approves an annual budget for the charity’s plans and regularly monitors its expenditure.,,15,6.4.1,Complied,Thecharity discloses its reserves policy in the annual report.,,16,,No,Doesthe charity invest its reserves?,,17,7.2.2,Complied,Donationscollected are properly recorded and promptly deposited by the charity.,,19,8.1,Complied,"Thecharity makes available to its stakeholders an annual report that includes information on its programmes, activities, audited financial statements, Board members and executive management.",,20,,No,AreBoard members remunerated for their Board services?,,21,,Yes,Doesthe charity employ paid staff?,,24,2.2,Complied,Nostaff is involved in setting his or her own remuneration.,,25,8.3,Complied,"Thecharity discloses in its annual report the annual remuneration of its three highest paid staff who each receives remuneration exceeding $100,000, in bands of $100,000. If none of its top three highest paid staff receives more than $100,000 in annual remuneration each, the charity discloses this fact.",,26,9.1,Complied,"Thecharity accurately portrays its image to its members, donors and the public.",,27,,,,,,,,,,,,,,,,Animal Welfare,T01SS0121K
57,Jan 2016 - Dec 2016,Late,1,CAT WELFARE SOCIETY,Others,,No,Arethere Board members holding staff appointments?,,1,1.1.6,Complied,"Thereis a maximum term limit of four consecutive years for the Treasurer position (or equivalent, e.g. Finance Committee Chairman).",,4,1.2.1,Complied,Thereare Board committees (or designated Board members) with documented terms of reference.,,5,1.3.1,Complied,"TheBoard meets regularly with a quorum of at least one-third or at least three members, whichever is greater (or as required by the governing instrument).",,6,2.1,Complied,Thereare documented procedures for Board members and staff to declare actual or potential conflicts of interest to the Board.,,7,2.4,Complied,Boardmembers do not vote or participate in decision-making on matters where they have a conflict of interest.,,8,3.1.1,Complied,TheBoard reviews and approves the vision and mission of the charity. They are documented and communicated to its members and the public.,,9,3.2.2,Complied,TheBoard approves and reviews a strategic plan for the charity to ensure that the activities are in line with its objectives.,,10,5.1,Complied,TheBoard approves documented human resource policies for staff.,,11,5.6,Complied,"Thereare systems for regular supervision, appraisal and professional development of staff.",,12,6.1.2,Complied,TheBoard ensures internal control systems for financial matters are in place with documented procedures.,,13,6.1.3,Complied,"TheBoard ensures reviews on the charity’s controls, processes, key programmes and events.",,14,6.2.1,Complied,TheBoard approves an annual budget for the charity’s plans and regularly monitors its expenditure.,,15,6.4.1,Complied,Thecharity discloses its reserves policy in the annual report.,,16,,No,Doesthe charity invest its reserves?,,17,7.2.2,Complied,Donationscollected are properly recorded and promptly deposited by the charity.,,19,8.1,Complied,"Thecharity makes available to its stakeholders an annual report that includes information on its programmes, activities, audited financial statements, Board members and executive management.",,20,,Yes,AreBoard members remunerated for their Board services?,"LauVun Ping, $650 a month for advocacy and education material creation, writing fees.",21,2.2,Complied,NoBoard member is involved in setting his or her own remuneration.,,22,8.2,Complied,Thecharity discloses the exact remuneration and benefits received by each Board member in the annual report.,,23,,Yes,Doesthe charity employ paid staff?,,24,2.2,Complied,Nostaff is involved in setting his or her own remuneration.,,25,8.3,Complied,"Thecharity discloses in its annual report the annual remuneration of its three highest paid staff who each receives remuneration exceeding $100,000, in bands of $100,000. If none of its top three highest paid staff receives more than $100,000 in annual remuneration each, the charity discloses this fact.",,26,9.1,Complied,"Thecharity accurately portrays its image to its members, donors and the public.",,27,,,,,,Animal Welfare,S99SS0144E
57,Jun 2016 - May 2017,Late,1,CAUSES FOR ANIMALS (SINGAPORE) LIMITED,Others,,No,Arethere Board members holding staff appointments?,,1,1.1.6,Complied,"Thereis a maximum term limit of four consecutive years for the Treasurer position (or equivalent, e.g. Finance Committee Chairman).",,4,1.2.1,Complied,Thereare Board committees (or designated Board members) with documented terms of reference.,,5,1.3.1,Complied,"TheBoard meets regularly with a quorum of at least one-third or at least three members, whichever is greater (or as required by the governing instrument).",,6,2.1,Complied,Thereare documented procedures for Board members and staff to declare actual or potential conflicts of interest to the Board.,,7,2.4,Complied,Boardmembers do not vote or participate in decision-making on matters where they have a conflict of interest.,,8,3.1.1,Complied,TheBoard reviews and approves the vision and mission of the charity. They are documented and communicated to its members and the public.,,9,3.2.2,Complied,TheBoard approves and reviews a strategic plan for the charity to ensure that the activities are in line with its objectives.,,10,5.1,NotApplicable,TheBoard approves documented human resource policies for staff.,Allvolunteers. No staff employed at CAS.,11,5.6,NotApplicable,"Thereare systems for regular supervision, appraisal and professional development of staff.",Allvolunteers. No staff employed at CAS.,12,6.1.2,Complied,TheBoard ensures internal control systems for financial matters are in place with documented procedures.,,13,6.1.3,Complied,"TheBoard ensures reviews on the charity’s controls, processes, key programmes and events.",,14,6.2.1,Complied,TheBoard approves an annual budget for the charity’s plans and regularly monitors its expenditure.,,15,6.4.1,Complied,Thecharity discloses its reserves policy in the annual report.,,16,,No,Doesthe charity invest its reserves?,,17,7.2.2,Complied,Donationscollected are properly recorded and promptly deposited by the charity.,,19,8.1,Complied,"Thecharity makes available to its stakeholders an annual report that includes information on its programmes, activities, audited financial statements, Board members and executive management.",,20,,Yes,AreBoard members remunerated for their Board services?,,21,2.2,Complied,NoBoard member is involved in setting his or her own remuneration.,,22,8.2,Complied,Thecharity discloses the exact remuneration and benefits received by each Board member in the annual report.,,23,,No,Doesthe charity employ paid staff?,,24,9.1,Complied,"Thecharity accurately portrays its image to its members, donors and the public.",,27,,,,,,,,,,,,,,,,Animal Welfare,201314186Z
57,Jul 2016 - Jun 2017,Received,1,EXCLUSIVELY MONGRELS LIMITED,Others,,No,Arethere Board members holding staff appointments?,,1,1.1.6,Complied,"Thereis a maximum term limit of four consecutive years for the Treasurer position (or equivalent, e.g. Finance Committee Chairman).",,4,1.2.1,Complied,Thereare Board committees (or designated Board members) with documented terms of reference.,,5,1.3.1,Complied,"TheBoard meets regularly with a quorum of at least one-third or at least three members, whichever is greater (or as required by the governing instrument).",,6,2.1,Complied,Thereare documented procedures for Board members and staff to declare actual or potential conflicts of interest to the Board.,,7,2.2,Complied,NoBoard member or staff is involved in setting his or her own remuneration.,,8,2.4,Complied,Boardmembers do not vote or participate in decision-making on matters where they have a conflict of interest.,,9,3.1.1,Complied,TheBoard reviews and approves the vision and mission of the charity. They are documented and communicated to its members and the public.,,10,5.1,Complied,TheBoard approves documented human resource policies for staff.,,11,6.1.2,Complied,TheBoard ensures internal control systems for financial matters are in place with documented procedures.,,12,6.1.3,Complied,"TheBoard ensures reviews on the charity’s controls, processes, key programmes and events.",,13,6.2.1,Complied,TheBoard approves an annual budget for the charity’s plans and regularly monitors its expenditure.,,14,6.4.1,Complied,Thecharity discloses its reserves policy in the annual report.,,15,,No,Doesthe charity invest its reserves?,,16,7.2.2,Complied,Donationscollected are properly recorded and promptly deposited by the charity.,,18,8.1,Complied,"Thecharity makes available to its stakeholders an annual report that includes information on its programmes, activities, audited financial statements, Board members and executive management.",,19,9.1,Complied,"Thecharity accurately portrays its image to its members, donors and the public.",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animal Welfare,201216939N
57,Jan 2016 - Dec 2016,Received,1,NOAH'S ARK COMPANION ANIMAL RESCUE & EDUCATION SOCIETY,Others,,No,Arethere Board members holding staff appointments?,,1,1.1.6,Complied,"Thereis a maximum term limit of four consecutive years for the Treasurer position (or equivalent, e.g. Finance Committee Chairman).",,4,1.2.1,Complied,Thereare Board committees (or designated Board members) with documented terms of reference.,,5,1.3.1,Complied,"TheBoard meets regularly with a quorum of at least one-third or at least three members, whichever is greater (or as required by the governing instrument).",,6,2.1,Complied,Thereare documented procedures for Board members and staff to declare actual or potential conflicts of interest to the Board.,,7,2.4,Complied,Boardmembers do not vote or participate in decision-making on matters where they have a conflict of interest.,,8,3.1.1,Complied,TheBoard reviews and approves the vision and mission of the charity. They are documented and communicated to its members and the public.,,9,3.2.2,Complied,TheBoard approves and reviews a strategic plan for the charity to ensure that the activities are in line with its objectives.,,10,5.1,Complied,TheBoard approves documented human resource policies for staff.,,11,5.6,Complied,"Thereare systems for regular supervision, appraisal and professional development of staff.",,12,6.1.2,Complied,TheBoard ensures internal control systems for financial matters are in place with documented procedures.,,13,6.1.3,Complied,"TheBoard ensures reviews on the charity’s controls, processes, key programmes and events.",,14,6.2.1,Complied,TheBoard approves an annual budget for the charity’s plans and regularly monitors its expenditure.,,15,6.4.1,Complied,Thecharity discloses its reserves policy in the annual report.,,16,,No,Doesthe charity invest its reserves?,,17,7.2.2,Complied,Donationscollected are properly recorded and promptly deposited by the charity.,,19,8.1,Complied,"Thecharity makes available to its stakeholders an annual report that includes information on its programmes, activities, audited financial statements, Board members and executive management.",,20,,No,AreBoard members remunerated for their Board services?,,21,,Yes,Doesthe charity employ paid staff?,,24,2.2,Complied,Nostaff is involved in setting his or her own remuneration.,,25,8.3,Complied,"Thecharity discloses in its annual report the annual remuneration of its three highest paid staff who each receives remuneration exceeding $100,000, in bands of $100,000. If none of its top three highest paid staff receives more than $100,000 in annual remuneration each, the charity discloses this fact.",,26,9.1,Complied,"Thecharity accurately portrays its image to its members, donors and the public.",,27,,,,,,,,,,,,,,,,Animal Welfare,T05SS0171L
57,Jan 2016 - Dec 2016,Late,1,OASIS SECOND CHANCE ANIMAL SHELTER LTD.,Others,,No,Arethere Board members holding staff appointments?,,1,1.1.6,Complied,"Thereis a maximum term limit of four consecutive years for the Treasurer position (or equivalent, e.g. Finance Committee Chairman).",,4,1.2.1,Complied,Thereare Board committees (or designated Board members) with documented terms of reference.,,5,1.3.1,Complied,"TheBoard meets regularly with a quorum of at least one-third or at least three members, whichever is greater (or as required by the governing instrument).",,6,2.1,Complied,Thereare documented procedures for Board members and staff to declare actual or potential conflicts of interest to the Board.,,7,2.2,Complied,NoBoard member or staff is involved in setting his or her own remuneration.,,8,2.4,Complied,Boardmembers do not vote or participate in decision-making on matters where they have a conflict of interest.,,9,3.1.1,Complied,TheBoard reviews and approves the vision and mission of the charity. They are documented and communicated to its members and the public.,,10,5.1,NotApplicable,TheBoard approves documented human resource policies for staff.,Noemployed staff.,11,6.1.2,Complied,TheBoard ensures internal control systems for financial matters are in place with documented procedures.,,12,6.1.3,Complied,"TheBoard ensures reviews on the charity’s controls, processes, key programmes and events.",,13,6.2.1,Complied,TheBoard approves an annual budget for the charity’s plans and regularly monitors its expenditure.,,14,6.4.1,NotApplicable,Thecharity discloses its reserves policy in the annual report.,Donot hold reserves,15,,No,Doesthe charity invest its reserves?,,16,7.2.2,Complied,Donationscollected are properly recorded and promptly deposited by the charity.,,18,8.1,Complied,"Thecharity makes available to its stakeholders an annual report that includes information on its programmes, activities, audited financial statements, Board members and executive management.",,19,9.1,Complied,"Thecharity accurately portrays its image to its members, donors and the public.",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animal Welfare,201406657D
57,Jul 2016 - Jun 2017,Received,1,"SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS, SINGAPORE",Others,,No,Arethere Board members holding staff appointments?,,1,1.1.6,Complied,"Thereis a maximum term limit of four consecutive years for the Treasurer position (or equivalent, e.g. Finance Committee Chairman).",,4,1.2.1,Complied,Thereare Board committees (or designated Board members) with documented terms of reference.,,5,1.3.1,Complied,"TheBoard meets regularly with a quorum of at least one-third or at least three members, whichever is greater (or as required by the governing instrument).",,6,2.1,Complied,Thereare documented procedures for Board members and staff to declare actual or potential conflicts of interest to the Board.,,7,2.4,Complied,Boardmembers do not vote or participate in decision-making on matters where they have a conflict of interest.,,8,3.1.1,Complied,TheBoard reviews and approves the vision and mission of the charity. They are documented and communicated to its members and the public.,,9,3.2.2,Complied,TheBoard approves and reviews a strategic plan for the charity to ensure that the activities are in line with its objectives.,,10,5.1,Complied,TheBoard approves documented human resource policies for staff.,,11,5.6,Complied,"Thereare systems for regular supervision, appraisal and professional development of staff.",,12,6.1.2,Complied,TheBoard ensures internal control systems for financial matters are in place with documented procedures.,,13,6.1.3,Complied,"TheBoard ensures reviews on the charity’s controls, processes, key programmes and events.",,14,6.2.1,Complied,TheBoard approves an annual budget for the charity’s plans and regularly monitors its expenditure.,,15,6.4.1,Complied,Thecharity discloses its reserves policy in the annual report.,,16,,Yes,Doesthe charity invest its reserves?,,17,6.4.4,Complied,"Thecharity invests its reserves in accordance with an investment policy approved by the Board. It obtains advice from qualified professional advisors, if deemed necessary by the Board.",,18,7.2.2,Complied,Donationscollected are properly recorded and promptly deposited by the charity.,,19,8.1,Complied,"Thecharity makes available to its stakeholders an annual report that includes information on its programmes, activities, audited financial statements, Board members and executive management.",,20,,No,AreBoard members remunerated for their Board services?,,21,,Yes,Doesthe charity employ paid staff?,,24,2.2,Complied,Nostaff is involved in setting his or her own remuneration.,,25,8.3,Complied,"Thecharity discloses in its annual report the annual remuneration of its three highest paid staff who each receives remuneration exceeding $100,000, in bands of $100,000. If none of its top three highest paid staff receives more than $100,000 in annual remuneration each, the charity discloses this fact.",,26,9.1,Complied,"Thecharity accurately portrays its image to its members, donors and the public.",,27,,,,,,,,,,,Animal Welfare,S61SS0060B
57,Apr 2016 - Mar 2017,Received,1,SOSD,Others,,No,Arethere Board members holding staff appointments?,,1,1.1.6,Complied,"Thereis a maximum term limit of four consecutive years for the Treasurer position (or equivalent, e.g. Finance Committee Chairman).",,4,1.2.1,Complied,Thereare Board committees (or designated Board members) with documented terms of reference.,,5,1.3.1,Complied,"TheBoard meets regularly with a quorum of at least one-third or at least three members, whichever is greater (or as required by the governing instrument).",,6,2.1,Complied,Thereare documented procedures for Board members and staff to declare actual or potential conflicts of interest to the Board.,,7,2.4,Complied,Boardmembers do not vote or participate in decision-making on matters where they have a conflict of interest.,,8,3.1.1,Complied,TheBoard reviews and approves the vision and mission of the charity. They are documented and communicated to its members and the public.,,9,3.2.2,Complied,TheBoard approves and reviews a strategic plan for the charity to ensure that the activities are in line with its objectives.,,10,5.1,Complied,TheBoard approves documented human resource policies for staff.,,11,5.6,Complied,"Thereare systems for regular supervision, appraisal and professional development of staff.",,12,6.1.2,Complied,TheBoard ensures internal control systems for financial matters are in place with documented procedures.,,13,6.1.3,Complied,"TheBoard ensures reviews on the charity’s controls, processes, key programmes and events.",,14,6.2.1,Complied,TheBoard approves an annual budget for the charity’s plans and regularly monitors its expenditure.,,15,6.4.1,Complied,Thecharity discloses its reserves policy in the annual report.,,16,,No,Doesthe charity invest its reserves?,,17,7.2.2,Complied,Donationscollected are properly recorded and promptly deposited by the charity.,,19,8.1,Complied,"Thecharity makes available to its stakeholders an annual report that includes information on its programmes, activities, audited financial statements, Board members and executive management.",,20,,No,AreBoard members remunerated for their Board services?,,21,,Yes,Doesthe charity employ paid staff?,,24,2.2,Complied,Nostaff is involved in setting his or her own remuneration.,,25,8.3,Complied,"Thecharity discloses in its annual report the annual remuneration of its three highest paid staff who each receives remuneration exceeding $100,000, in bands of $100,000. If none of its top three highest paid staff receives more than $100,000 in annual remuneration each, the charity discloses this fact.",,26,9.1,Complied,"Thecharity accurately portrays its image to its members, donors and the public.",,27,,,,,,,,,,,,,,,,Animal Welfare,T12SS0058C
57,Jan 2016 - Dec 2016,Received,1,Vegetarian Society (Singapore),Others,2.1,Complied,Boardmembers and staff declare actual or potential conflicts of interest to the Board and do not take part in decision-making on matters where they have a conflict of interest.,,1,2.2,Complied,NoBoard member or staff is involved in setting his or her own remuneration.,,2,3.1.1,Complied,TheBoard reviews and approves the objectives of the charity.,,3,5.1,NotApplicable,TheBoard approves documented human resource policies for staff.,Weonly have 1 paid staff. Can we see samples of such policy so that we can improve on HR policy?,4,6.1.2,Complied,TheBoard has basic operational controls in place for financial matters.,Pleasesee our submitted AR and financial statement,5,8.1,Complied,"Thecharity makes information on its programmes, activities and financials available to its members and donors.",,6,9.1,Complied,Thecharity accurately portrays its image to its members and donors.,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animal Welfare,S99SS0065J
57,Apr 2016 - Mar 2017,Received,1,WILDLIFE RESERVES SINGAPORE CONSERVATION FUND,Others,,No,Arethere Board members holding staff appointments?,,1,1.1.6,Complied,"Thereis a maximum term limit of four consecutive years for the Treasurer position (or equivalent, e.g. Finance Committee Chairman).",,4,1.2.1,Complied,Thereare Board committees (or designated Board members) with documented terms of reference.,,5,1.3.1,Complied,"TheBoard meets regularly with a quorum of at least one-third or at least three members, whichever is greater (or as required by the governing instrument).",,6,2.1,Complied,Thereare documented procedures for Board members and staff to declare actual or potential conflicts of interest to the Board.,,7,2.4,Complied,Boardmembers do not vote or participate in decision-making on matters where they have a conflict of interest.,,8,3.1.1,Complied,TheBoard reviews and approves the vision and mission of the charity. They are documented and communicated to its members and the public.,,9,3.2.2,Complied,TheBoard approves and reviews a strategic plan for the charity to ensure that the activities are in line with its objectives.,,10,5.1,Complied,TheBoard approves documented human resource policies for staff.,,11,5.6,Complied,"Thereare systems for regular supervision, appraisal and professional development of staff.",,12,6.1.2,Complied,TheBoard ensures internal control systems for financial matters are in place with documented procedures.,,13,6.1.3,Complied,"TheBoard ensures reviews on the charity’s controls, processes, key programmes and events.",,14,6.2.1,Complied,TheBoard approves an annual budget for the charity’s plans and regularly monitors its expenditure.,,15,6.4.1,Complied,Thecharity discloses its reserves policy in the annual report.,,16,,No,Doesthe charity invest its reserves?,,17,7.2.2,Complied,Donationscollected are properly recorded and promptly deposited by the charity.,,19,8.1,Complied,"Thecharity makes available to its stakeholders an annual report that includes information on its programmes, activities, audited financial statements, Board members and executive management.",,20,,No,AreBoard members remunerated for their Board services?,,21,,No,Doesthe charity employ paid staff?,,24,9.1,Complied,"Thecharity accurately portrays its image to its members, donors and the public.",,27,,,,,,,,,,,,,,,,,,,,,,,,,,Animal Welfare,200823204E
