balance_assets_accounts_receivables,balance_assets_cash_deposits,balance_assets_inventories,balance_assets_investments,balance_assets_land_building,balance_assets_other_assets,balance_assets_other_tangible,balance_assets_total,balance_funds_endowment,balance_funds_liabilities_total,balance_funds_restricted,balance_funds_total,balance_funds_unrestricted,balance_liabilities_current,balance_liabilities_non_current,balance_liabilities_total,capital_in_nature,expenses_charitable_local,expenses_charitable_overseas,expenses_charitable_total,expenses_fund_raising,expenses_others_total,expenses_total,financial_period,financial_status,name,other_info_donation_other_charities,other_info_fund_raising_efficiency_ratio,other_info_no_of_employees,other_info_total_employee_costs,other_info_total_related_party_transactions,primary_sector,receipts_donation_cash_non_tax_deductible,receipts_donation_cash_tax_deductible,receipts_donation_cash_total,receipts_donation_kind_non_tax_deductible,receipts_donation_kind_tax_deductible,receipts_donation_kind_total,receipts_government_grants,receipts_investment_income,receipts_others_income,receipts_programme_fees,receipts_total,sub_sector,uen
"32,309","374,468","13,674",0,0,0,"218,502","638,953",0,"638,953",0,"269,848","269,848","344,105","25,000","369,105",0,"1,569,667",0,"1,569,667",0,"548,107","2,117,774",Apr 2015 - Mar 2016,Late,ASIAN FILM ARCHIVE,0,0,5,"396,759",0,Arts and Heritage,0,"3,433","3,433",0,0,0,"1,066,881",0,"1,272,625",0,"2,342,939",Historical & Cultural Conservation,200500010H
"9,100","278,700","19,200",0,0,"7,600",0,"314,600",0,"314,600",0,"44,600","44,600","245,000","25,000","270,000",0,"331,000",0,"331,000",0,"326,100","657,100",Apr 2014 - Mar 2015,Late,ASIAN FILM ARCHIVE,0,0,5,"250,700",0,Arts and Heritage,0,"1,000","1,000",0,0,0,"671,100",0,"19,700",0,"691,800",Historical & Cultural Conservation,200500010H
"67,390","1,162,472","13,612",0,0,0,"294,434","1,537,908",0,"1,537,908",0,"1,325,708","1,325,708","212,200",0,"212,200","162,852","797,514",0,"797,514",0,"666,169","1,463,683",Apr 2016 - Mar 2017,Received,ASIAN FILM ARCHIVE,0,4,6,"445,792","82,901",Arts and Heritage,0,"4,346","4,346",0,0,0,"2,088,112",0,"58,000","369,085","2,519,543",Historical & Cultural Conservation,200500010H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"8,584,350",0,"10,275,830",0,"2,103,448","9,019","20,972,647",0,"20,972,647",0,"20,104,831","20,104,831","867,816",0,"867,816",0,"3,505,351",0,"3,505,351",0,"320,133","3,825,484",Jan 2015 - Dec 2015,Received,BUSINESS CHINA,0,0,21,"1,513,339","267,596",Arts and Heritage,"1,030,000","1,633,000","2,663,000",0,0,0,"1,912,742","319,617","87,726","725,683","5,708,768",Historical & Cultural Conservation,200717215M
0,"9,417,039",0,"7,220,000",0,"2,498,552","25,043","19,160,634",0,"19,160,634",0,"18,234,718","18,234,718","925,916",0,"925,916",0,"3,537,144",0,"3,537,144",0,"318,652","3,855,796",Jan 2014 - Dec 2014,Received,BUSINESS CHINA,0,0,20,"1,588,808","168,653",Arts and Heritage,"1,230,000","2,000,000","3,230,000",0,0,0,"1,927,898","311,623","35,625","645,440","6,150,586",Historical & Cultural Conservation,200717215M
0,"10,022,907",0,"10,323,530",0,"2,258,036","7,831","22,612,304",0,"22,612,304",0,"21,800,655","21,800,655","811,649",0,"811,649",0,"3,325,924",0,"3,325,924",0,"286,702","3,612,626",Jan 2016 - Dec 2016,Received,BUSINESS CHINA,0,0,18,"1,688,556","191,228",Arts and Heritage,"920,000","1,359,900","2,279,900",0,0,0,"1,806,313","471,190","82,102","621,245","5,260,750",Historical & Cultural Conservation,200717215M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"54,783,009",0,"64,000,000",0,"236,002",0,"119,019,011",0,"119,019,011",0,"117,095,004","117,095,004","1,924,007",0,"1,924,007",0,0,0,0,0,"56,111,433","56,111,433",Apr 2015 - Mar 2016,Received,Cultural Matching Fund,0,0,0,0,0,Arts and Heritage,0,-,0,0,-,0,"200,000,000","800,005",0,0,"200,800,005",Historical & Cultural Conservation,T14CC0004J
0,"108,101,298",0,"64,000,000",0,"323,393",0,"172,424,691",0,"172,424,691",0,"172,406,432","172,406,432","18,259",0,"18,259",0,0,0,0,0,"28,690,470","28,690,470",Apr 2014 - Mar 2015,Received,Cultural Matching Fund,0,0,0,0,0,Arts and Heritage,0,-,0,0,-,0,"200,000,000","1,096,902",0,0,"201,096,902",Historical & Cultural Conservation,T14CC0004J
0,"20,042,093",0,"44,229,000",0,"123,841",0,"64,394,934",0,"64,394,934",0,"61,790,545","61,790,545","2,604,389",0,"2,604,389",0,0,0,0,0,"55,757,750","55,757,750",Apr 2016 - Mar 2017,Late,Cultural Matching Fund,0,0,0,0,0,Arts and Heritage,0,-,0,0,-,0,"200,000,000","453,291",0,0,"200,453,291",Historical & Cultural Conservation,T14CC0004J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,GLOBAL CULTURAL ALLIANCE LIMITED,-,-,-,-,-,Arts and Heritage,-,-,-,-,-,-,-,-,-,-,0,Historical & Cultural Conservation,201428805R
"92,417","261,795",0,0,0,"224,469",989,"579,670",0,"579,670",0,"-157,746","-157,746","737,416",0,"737,416",0,"283,463","95,725","379,188",0,"141,630",0,0,0,GLOBAL CULTURAL ALLIANCE LIMITED,0,0,3,"236,122","117,820",Arts and Heritage,"389,351",-,"389,351",0,-,0,"123,090",0,"16,748","22,000",0,Historical & Cultural Conservation,201428805R
