primary_sector,sub_sector,link_id,record_count
Religious,Christianity,#rel2,625
Religious,Hinduism,#rel3,39
Religious,Islam,#rel4,12
Religious,Taoism,#rel5,184
Religious,Others,#rel6,36
Social and Welfare,Children/Youth,#soc1,155
Social and Welfare,Disability (Children),#soc2,34
Social and Welfare,Disability (Adult),#soc3,46
Social and Welfare,Eldercare,#soc4,95
Social and Welfare,Family,#soc5,107
Social and Welfare,Support Groups,#soc6,56
Social and Welfare,Community,#soc7,234
Sports,NSAs,#spo1,56
Sports,Non-NSAs,#spo2,11
Sports,Disability Sports,#spo3,8
Sports,Competitive Sports,#spo4,4
Sports,Mind Sports,#spo5,0
Sports,Trust Funds,#spo6,0
Sports,Youth Sports,#spo7,3
Sports,Others,#spo8,3
Others,Animal Welfare,#oth1,15
Others,Children/Youth,#oth2,31
Others,Environment,#oth3,26
Others,Humanitarian Aid,#oth4,10
Others,Self-Help Groups,#oth5,6
Others,Think Tanks,#oth6,16
Others,General Charitable Purposes,#oth7,141
